1	4901285
2	93594
3	26117
4	21859
5	23710
6	28758
7	35214
8	44363
9	55113
10	67397
11	83368
12	100010
13	118502
14	140176
15	161403
16	182945
17	202724
18	219513
19	231531
20	242427
21	247306
22	248691
23	243123
24	233352
25	217707
26	201930
27	183963
28	164155
29	142992
30	123264
31	103879
32	87347
33	72444
34	59385
35	48759
36	39253
37	30309
38	24047
39	18213
40	14248
41	11154
42	8345
43	6587
44	4883
45	3645
46	2797
47	1911
48	1696
49	1210
50	1073
51	941
52	744
53	612
54	470
55	415
56	355
57	340
58	325
59	375
60	306
61	329
62	294
63	267
64	246
65	214
66	218
67	197
68	181
69	190
70	208
71	178
72	158
73	151
74	168
75	162
76	149
77	138
78	144
79	114
80	128
81	145
82	139
83	136
84	121
85	94
86	87
87	92
88	67
89	80
90	79
91	105
92	98
93	102
94	88
95	96
96	93
97	122
98	108
99	91
100	105
101	139
102	125
103	129
104	130
105	79
106	79
107	90
108	86
109	77
110	56
111	64
112	58
113	54
114	62
115	56
116	70
117	68
118	60
119	57
120	60
121	65
122	59
123	55
124	62
125	54
126	51
127	54
128	67
129	61
130	56
131	53
132	49
133	52
134	62
135	37
136	47
137	52
138	48
139	55
140	76
141	75
142	92
143	84
144	95
145	112
146	86
147	114
148	77
149	99
150	97
151	104
152	101
153	91
154	108
155	138
156	118
157	115
158	126
159	132
160	127
161	103
162	106
163	128
164	145
165	110
166	106
167	98
168	95
169	103
170	101
171	97
172	106
173	113
174	105
175	100
176	68
177	94
178	93
179	73
180	64
181	84
182	74
183	84
184	96
185	95
186	80
187	80
188	73
189	61
190	76
191	70
192	74
193	62
194	73
195	74
196	62
197	50
198	66
199	55
200	53
201	42
202	38
203	50
204	32
205	37
206	32
207	43
208	28
209	32
210	35
211	31
212	32
213	30
214	18
215	23
216	17
217	17
218	18
219	22
220	21
221	21
222	20
223	11
224	15
225	8
226	13
227	13
228	13
229	14
230	10
231	11
232	7
233	13
234	10
235	8
236	7
237	5
238	10
239	15
240	6
241	7
242	12
243	2
244	8
245	4
246	4
247	4
248	3
249	3
250	3
251	4
252	4
253	2
254	4
255	312

real	0m0.578s
user	0m2.323s
sys	0m0.158s
